,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
637,638,2004-08-18,Casa,Venta,Tarragona,116,915704,2005-01-27,María
639,640,2004-08-19,Industrial,Alquiler,Tarragona,182,1243060,2005-07-16,María
643,644,2004-08-20,Industrial,Alquiler,Tarragona,164,1162104,2005-05-10,Pedro
644,645,2004-08-20,Industrial,Venta,Tarragona,227,1917696,2005-02-22,Joaquín
646,647,2004-08-21,Piso,Venta,Barcelona,67,346256,2005-05-18,Luisa
652,653,2004-08-22,Piso,Venta,Tarragona,147,730149,2004-12-25,Carmen
655,656,2004-08-23,Oficina,Venta,Tarragona,252,1773072,2005-04-01,Luisa
657,658,2004-08-23,Parking,Venta,Tarragona,286,1442870,2005-08-09,Pedro
658,659,2004-08-23,Casa,Alquiler,Barcelona,72,500400,2005-01-22,María
659,660,2004-08-23,Piso,Venta,Tarragona,176,1003552,2005-08-05,Carmen
662,663,2004-08-24,Local,Alquiler,Barcelona,47,463843,2005-02-19,Joaquín
666,667,2004-08-26,Oficina,Venta,Barcelona,116,651920,2005-05-09,María
667,668,2004-08-27,Parking,Venta,Barcelona,195,1513005,2005-01-21,Pedro
668,669,2004-08-27,Parking,Venta,Tarragona,290,1747830,2005-01-14,Luisa
669,670,2004-08-28,Industrial,Venta,Barcelona,289,2188597,2005-04-27,María
670,671,2004-08-28,Suelo,Alquiler,Barcelona,235,1277930,2005-04-07,Luisa
671,672,2004-08-28,Local,Alquiler,Tarragona,186,1225926,2005-05-16,Luisa
672,673,2004-08-29,Industrial,Venta,Barcelona,67,479318,2005-04-03,Luisa
674,675,2004-08-29,Oficina,Alquiler,Barcelona,62,329716,2005-05-10,Pedro
676,677,2004-08-30,Industrial,Alquiler,Tarragona,54,227178,2005-01-24,Joaquín
677,678,2004-08-30,Industrial,Venta,Barcelona,225,1239300,2005-01-29,María
678,679,2004-08-30,Suelo,Venta,Tarragona,113,1074969,2005-04-16,Joaquín
679,680,2004-08-30,Piso,Alquiler,Tarragona,249,1029864,2005-05-06,Carmen
680,681,2004-08-30,Industrial,Alquiler,Tarragona,284,1166104,2005-04-08,Jesús
683,684,2004-08-31,Parking,Venta,Tarragona,247,2285244,2005-03-07,María
685,686,2004-08-31,Suelo,Alquiler,Tarragona,57,330771,2005-01-05,María
689,690,2004-09-02,Parking,Alquiler,Tarragona,81,723492,2005-07-10,Joaquín
692,693,2004-09-03,Suelo,Venta,Barcelona,269,1722407,2004-12-21,Jesús
695,696,2004-09-04,Suelo,Alquiler,Tarragona,256,1379328,2005-03-27,Luisa
696,697,2004-09-04,Local,Alquiler,Barcelona,163,1570016,2005-08-04,Carmen
702,703,2004-09-07,Casa,Venta,Tarragona,160,1341120,2005-07-25,María
703,704,2004-09-08,Piso,Alquiler,Barcelona,278,2540364,2005-04-12,Carmen
704,705,2004-09-08,Oficina,Alquiler,Tarragona,271,1165842,2005-02-10,Luisa
707,708,2004-09-08,Industrial,Venta,Tarragona,158,1124012,2005-05-03,Pedro
708,709,2004-09-09,Casa,Alquiler,Tarragona,210,1181670,2005-07-13,Jesús
710,711,2004-09-10,Casa,Venta,Tarragona,289,2114035,2004-12-14,Luisa
712,713,2004-09-10,Casa,Venta,Barcelona,73,688463,2005-08-08,Luisa
715,716,2004-09-10,Oficina,Alquiler,Barcelona,206,1793848,2005-09-03,Luisa
716,717,2004-09-10,Local,Alquiler,Tarragona,47,457498,2005-02-23,Jesús
718,719,2004-09-11,Oficina,Venta,Tarragona,283,1565839,2005-06-15,Pedro
719,720,2004-09-11,Casa,Venta,Tarragona,226,2216608,2005-07-09,Luisa
720,721,2004-09-12,Industrial,Venta,Tarragona,44,266596,2005-04-23,Luisa
723,724,2004-09-12,Oficina,Alquiler,Barcelona,241,2085373,2005-07-07,Joaquín
724,725,2004-09-13,Oficina,Alquiler,Barcelona,180,901980,2005-02-07,Carmen
727,728,2004-09-16,Suelo,Venta,Barcelona,139,585746,2005-05-03,Pedro
729,730,2004-09-16,Parking,Alquiler,Tarragona,284,1830664,2005-01-02,Pedro
731,732,2004-09-16,Suelo,Venta,Tarragona,117,652743,2004-12-23,Pedro
734,735,2004-09-18,Oficina,Alquiler,Barcelona,89,588023,2005-06-26,Joaquín
735,736,2004-09-19,Industrial,Venta,Barcelona,112,840560,2005-06-29,Pedro
738,739,2004-09-20,Piso,Venta,Barcelona,250,1527750,2005-02-10,Luisa
739,740,2004-09-21,Parking,Alquiler,Barcelona,254,2328418,2005-01-06,Joaquín
740,741,2004-09-21,Parking,Venta,Tarragona,126,1184274,2005-07-28,María
741,742,2004-09-22,Suelo,Venta,Barcelona,218,1330236,2004-12-27,Pedro
743,744,2004-09-22,Casa,Venta,Barcelona,99,538065,2005-06-19,Jesús
745,746,2004-09-22,Oficina,Alquiler,Tarragona,136,761056,2005-04-11,Jesús
746,747,2004-09-22,Suelo,Alquiler,Barcelona,178,1355470,2004-12-24,María
751,752,2004-09-25,Local,Venta,Barcelona,182,1509872,2005-08-05,Luisa
753,754,2004-09-25,Piso,Alquiler,Tarragona,251,1206557,2005-05-20,María
754,755,2004-09-25,Oficina,Venta,Tarragona,235,2202655,2005-04-16,Pedro
755,756,2004-09-26,Industrial,Alquiler,Tarragona,50,308850,2005-08-10,Pedro
756,757,2004-09-26,Industrial,Venta,Barcelona,42,306726,2005-06-16,Jesús
757,758,2004-09-26,Piso,Venta,Barcelona,272,1535168,2005-07-26,Luisa
758,759,2004-09-26,Piso,Alquiler,Tarragona,117,823680,2005-01-19,María
759,760,2004-09-26,Casa,Alquiler,Barcelona,299,1695330,2005-07-14,Joaquín
761,762,2004-09-26,Parking,Venta,Barcelona,48,371712,2005-08-14,María
766,767,2004-09-29,Piso,Alquiler,Barcelona,95,510150,2005-05-07,Jesús
768,769,2004-10-02,Casa,Venta,Barcelona,159,1162131,2005-08-25,Pedro
771,772,2004-10-04,Suelo,Venta,Barcelona,277,1363948,2005-01-02,Jesús
773,774,2004-10-05,Local,Alquiler,Tarragona,244,2332152,2005-06-05,Joaquín
776,777,2004-10-05,Suelo,Alquiler,Tarragona,68,611796,2005-06-18,Luisa
777,778,2004-10-06,Local,Alquiler,Barcelona,228,1554732,2005-08-17,Jesús
778,779,2004-10-06,Local,Alquiler,Tarragona,256,1877760,2005-04-14,María
779,780,2004-10-06,Local,Venta,Tarragona,185,1607280,2005-03-28,Carmen
783,784,2004-10-06,Parking,Alquiler,Tarragona,83,778706,2005-09-11,María
784,785,2004-10-06,Casa,Alquiler,Barcelona,228,1685148,2005-10-05,Luisa
786,787,2004-10-06,Casa,Venta,Barcelona,279,2064879,2005-05-07,María
788,789,2004-10-07,Piso,Venta,Barcelona,251,1781849,2005-07-23,Luisa
789,790,2004-10-07,Piso,Venta,Tarragona,108,647460,2005-03-10,Luisa
791,792,2004-10-08,Piso,Venta,Tarragona,292,1565120,2005-10-02,Joaquín
793,794,2004-10-10,Oficina,Venta,Tarragona,277,1522946,2005-03-09,Joaquín
794,795,2004-10-10,Casa,Alquiler,Tarragona,74,338476,2005-05-19,Jesús
796,797,2004-10-11,Oficina,Venta,Barcelona,255,1442280,2005-05-04,Jesús
798,799,2004-10-11,Suelo,Alquiler,Tarragona,278,2209822,2005-02-27,Jesús
799,800,2004-10-12,Local,Alquiler,Tarragona,67,653250,2005-02-19,María
800,801,2004-10-13,Local,Alquiler,Tarragona,159,1323198,2005-08-26,Jesús
802,803,2004-10-13,Local,Alquiler,Tarragona,163,1115409,2005-03-14,María
804,805,2004-10-14,Piso,Alquiler,Barcelona,243,1469178,2005-02-18,Pedro
806,807,2004-10-15,Suelo,Alquiler,Tarragona,259,1891736,2005-07-18,María
808,809,2004-10-15,Casa,Venta,Tarragona,222,1292484,2005-10-01,Pedro
809,810,2004-10-15,Industrial,Venta,Barcelona,51,334305,2005-09-25,Carmen
811,812,2004-10-16,Oficina,Venta,Tarragona,236,2208252,2005-04-21,Pedro
813,814,2004-10-17,Oficina,Alquiler,Barcelona,192,1627200,2005-01-27,Luisa
814,815,2004-10-17,Industrial,Venta,Tarragona,182,1690416,2005-09-04,Pedro
815,816,2004-10-18,Parking,Alquiler,Barcelona,232,2180104,2005-07-19,Joaquín
816,817,2004-10-18,Suelo,Alquiler,Barcelona,158,878638,2005-05-05,Joaquín
817,818,2004-10-18,Suelo,Alquiler,Tarragona,49,244608,2005-04-21,Pedro
818,819,2004-10-19,Parking,Venta,Barcelona,102,562632,2005-09-01,Luisa
819,820,2004-10-19,Piso,Alquiler,Tarragona,206,1688170,2005-07-17,Jesús
821,822,2004-10-20,Industrial,Venta,Tarragona,259,1628333,2005-08-09,María
824,825,2004-10-21,Local,Venta,Tarragona,172,866880,2005-09-01,Luisa
826,827,2004-10-22,Industrial,Venta,Tarragona,149,1391809,2005-08-06,Pedro
827,828,2004-10-23,Industrial,Alquiler,Barcelona,199,1278774,2005-04-06,Pedro
831,832,2004-10-24,Casa,Alquiler,Tarragona,87,574200,2005-05-19,Carmen
833,834,2004-10-24,Casa,Venta,Barcelona,73,592103,2005-03-21,Jesús
835,836,2004-10-25,Suelo,Venta,Tarragona,274,2124596,2005-02-21,Carmen
841,842,2004-10-29,Suelo,Venta,Barcelona,109,942196,2005-08-31,Joaquín
842,843,2004-10-30,Casa,Venta,Barcelona,175,1712725,2005-03-12,Carmen
843,844,2004-10-30,Local,Alquiler,Tarragona,121,593021,2005-02-28,Luisa
844,845,2004-10-31,Industrial,Venta,Tarragona,280,1485680,2005-10-23,Luisa
845,846,2004-10-31,Suelo,Alquiler,Tarragona,246,2214984,2005-09-22,Joaquín
847,848,2004-10-31,Oficina,Alquiler,Tarragona,223,1566129,2005-04-06,Jesús
848,849,2004-11-01,Casa,Venta,Tarragona,120,1003320,2005-07-18,Carmen
852,853,2004-11-02,Piso,Venta,Tarragona,246,1708716,2005-03-16,Jesús
855,856,2004-11-03,Industrial,Venta,Barcelona,247,995657,2005-06-29,Jesús
858,859,2004-11-03,Suelo,Venta,Barcelona,65,397540,2005-05-22,Joaquín
861,862,2004-11-04,Local,Alquiler,Barcelona,152,631560,2005-10-28,Joaquín
862,863,2004-11-06,Oficina,Alquiler,Barcelona,246,2328636,2005-03-10,Luisa
866,867,2004-11-07,Suelo,Venta,Tarragona,82,418692,2005-09-10,Luisa
867,868,2004-11-07,Suelo,Venta,Tarragona,127,912114,2005-09-20,Joaquín
869,870,2004-11-08,Industrial,Venta,Tarragona,245,1951180,2005-04-06,Luisa
870,871,2004-11-08,Casa,Alquiler,Tarragona,88,726352,2005-06-13,Joaquín
873,874,2004-11-09,Piso,Venta,Tarragona,80,458560,2005-02-22,Pedro
875,876,2004-11-09,Industrial,Venta,Tarragona,114,968658,2005-06-29,María
877,878,2004-11-10,Industrial,Alquiler,Barcelona,145,1372135,2005-04-18,Pedro
881,882,2004-11-11,Local,Venta,Tarragona,220,970420,2005-08-28,Luisa
886,887,2004-11-13,Suelo,Alquiler,Barcelona,160,1356160,2005-11-08,Luisa
889,890,2004-11-13,Oficina,Venta,Tarragona,165,1598520,2005-10-11,Pedro
891,892,2004-11-14,Casa,Alquiler,Tarragona,226,2025638,2005-05-04,María
892,893,2004-11-14,Casa,Venta,Tarragona,228,1115604,2005-09-21,Pedro
894,895,2004-11-14,Industrial,Alquiler,Barcelona,229,1341024,2005-09-12,Jesús
895,896,2004-11-14,Piso,Alquiler,Tarragona,226,1340632,2005-09-24,Luisa
897,898,2004-11-15,Casa,Venta,Barcelona,258,2449452,2005-03-14,Jesús
898,899,2004-11-16,Local,Venta,Barcelona,58,315810,2005-06-14,Jesús
899,900,2004-11-16,Casa,Alquiler,Barcelona,136,1072768,2005-04-02,Pedro
901,902,2004-11-17,Oficina,Alquiler,Barcelona,294,2722146,2005-11-05,Joaquín
902,903,2004-11-17,Suelo,Alquiler,Tarragona,151,1029367,2005-05-05,Carmen
903,904,2004-11-17,Piso,Venta,Barcelona,62,455762,2005-07-25,Pedro
905,906,2004-11-18,Industrial,Alquiler,Tarragona,68,500140,2005-10-27,Pedro
906,907,2004-11-18,Oficina,Alquiler,Barcelona,59,491706,2005-07-03,Jesús
908,909,2004-11-18,Industrial,Venta,Tarragona,127,1204595,2005-04-15,Carmen
909,910,2004-11-19,Piso,Alquiler,Tarragona,197,1506853,2005-11-16,Jesús
910,911,2004-11-20,Local,Alquiler,Barcelona,135,1036665,2005-11-08,Pedro
916,917,2004-11-21,Parking,Venta,Tarragona,263,1719757,2005-08-28,Pedro
919,920,2004-11-23,Industrial,Venta,Barcelona,137,1242042,2005-08-08,Luisa
920,921,2004-11-24,Suelo,Venta,Tarragona,163,1273030,2005-06-16,Luisa
922,923,2004-11-24,Suelo,Venta,Tarragona,257,1440742,2005-07-09,Carmen
925,926,2004-11-25,Suelo,Alquiler,Barcelona,298,2376550,2005-10-19,Luisa
926,927,2004-11-25,Suelo,Alquiler,Barcelona,151,709700,2005-03-16,Carmen
927,928,2004-11-26,Industrial,Alquiler,Barcelona,283,1615647,2005-06-06,Joaquín
928,929,2004-11-27,Local,Alquiler,Tarragona,73,410260,2005-10-29,Carmen
929,930,2004-11-27,Local,Venta,Tarragona,161,1604687,2005-03-05,Luisa
932,933,2004-11-29,Parking,Alquiler,Tarragona,150,795000,2005-10-17,Luisa
937,938,2004-12-01,Local,Venta,Barcelona,158,766774,2005-03-24,Pedro
939,940,2004-12-02,Industrial,Venta,Barcelona,249,1662822,2005-07-11,Luisa
940,941,2004-12-02,Industrial,Venta,Barcelona,68,614244,2005-05-11,Jesús
941,942,2004-12-02,Industrial,Alquiler,Tarragona,177,1485915,2005-04-29,Carmen
942,943,2004-12-03,Piso,Venta,Tarragona,268,1273000,2005-06-16,Carmen
944,945,2004-12-04,Piso,Venta,Tarragona,162,894888,2005-03-26,Pedro
948,949,2004-12-05,Parking,Alquiler,Barcelona,206,1241562,2005-07-27,María
950,951,2004-12-06,Oficina,Venta,Barcelona,65,307255,2005-10-11,Carmen
951,952,2004-12-07,Industrial,Venta,Barcelona,142,954808,2005-06-18,María
955,956,2004-12-09,Piso,Venta,Tarragona,80,509840,2005-05-21,Carmen
956,957,2004-12-09,Casa,Alquiler,Tarragona,84,368760,2005-07-30,Luisa
957,958,2004-12-10,Local,Alquiler,Tarragona,227,1071667,2005-05-26,Carmen
958,959,2004-12-10,Parking,Venta,Tarragona,291,1872876,2005-05-16,María
961,962,2004-12-10,Oficina,Alquiler,Barcelona,174,1271592,2005-07-13,Joaquín
975,976,2004-12-16,Local,Alquiler,Barcelona,232,1236560,2005-11-20,Pedro
976,977,2004-12-16,Suelo,Alquiler,Barcelona,199,1494490,2005-04-04,Joaquín
977,978,2004-12-17,Casa,Venta,Tarragona,115,659295,2005-10-09,María
978,979,2004-12-18,Casa,Alquiler,Barcelona,97,672792,2005-05-23,Joaquín
979,980,2004-12-18,Suelo,Venta,Barcelona,122,589016,2005-10-04,Joaquín
981,982,2004-12-19,Casa,Alquiler,Barcelona,212,1588940,2005-08-29,Carmen
982,983,2004-12-19,Oficina,Alquiler,Barcelona,250,1127750,2005-04-04,Luisa
984,985,2004-12-20,Piso,Alquiler,Barcelona,270,2427300,2005-09-06,Pedro
987,988,2004-12-21,Casa,Alquiler,Tarragona,225,2000475,2005-07-12,Jesús
989,990,2004-12-21,Industrial,Venta,Barcelona,182,1717898,2005-04-24,Pedro
990,991,2004-12-21,Oficina,Venta,Barcelona,233,1870757,2005-10-13,Luisa
992,993,2004-12-22,Industrial,Venta,Tarragona,201,1911510,2005-06-23,Luisa
994,995,2004-12-22,Oficina,Venta,Tarragona,180,1414800,2005-05-29,Joaquín
1000,1001,2004-12-25,Local,Venta,Barcelona,250,1368750,2005-06-07,Luisa
1001,1002,2004-12-25,Piso,Alquiler,Barcelona,292,2677056,2005-07-22,María
1002,1003,2004-12-25,Parking,Venta,Tarragona,87,638058,2005-07-19,Jesús
1006,1007,2004-12-27,Oficina,Alquiler,Tarragona,86,822504,2005-08-17,Jesús
1008,1009,2004-12-27,Piso,Alquiler,Tarragona,222,1266732,2005-06-23,Pedro
1010,1011,2004-12-27,Piso,Alquiler,Barcelona,96,862848,2005-12-23,María
1011,1012,2004-12-30,Oficina,Venta,Tarragona,173,1008071,2005-07-21,Jesús
1012,1013,2004-12-31,Oficina,Venta,Barcelona,191,1657880,2005-09-06,Pedro
1013,1014,2004-12-31,Casa,Venta,Barcelona,146,1457226,2005-11-05,María
1014,1015,2004-12-31,Local,Alquiler,Barcelona,168,1508472,2005-12-03,Luisa
1015,1016,2005-01-01,Parking,Alquiler,Barcelona,142,1276864,2005-10-24,María
1017,1018,2005-01-01,Local,Alquiler,Barcelona,269,1360064,2005-08-17,Jesús
1021,1022,2005-01-03,Piso,Alquiler,Tarragona,237,1177653,2005-11-10,Joaquín
1023,1024,2005-01-03,Piso,Alquiler,Barcelona,172,1615424,2005-11-19,Carmen
1024,1025,2005-01-04,Industrial,Alquiler,Tarragona,216,2022624,2005-05-07,Jesús
1025,1026,2005-01-04,Parking,Alquiler,Barcelona,206,1231262,2005-07-10,Luisa
1029,1030,2005-01-05,Piso,Alquiler,Tarragona,221,1194505,2005-12-12,María
1030,1031,2005-01-05,Industrial,Alquiler,Barcelona,143,1106677,2005-08-08,María
1031,1032,2005-01-06,Industrial,Alquiler,Barcelona,170,1262250,2005-11-29,Luisa
1034,1035,2005-01-07,Industrial,Venta,Barcelona,252,2398788,2005-11-19,Jesús
1039,1040,2005-01-09,Local,Venta,Barcelona,162,1315440,2005-09-16,Jesús
1040,1041,2005-01-09,Local,Alquiler,Tarragona,286,1732302,2005-08-26,Joaquín
1041,1042,2005-01-10,Suelo,Venta,Tarragona,90,374310,2005-12-07,María
1042,1043,2005-01-11,Suelo,Alquiler,Tarragona,186,1844004,2005-06-19,Pedro
1043,1044,2005-01-11,Piso,Alquiler,Tarragona,217,1603196,2005-12-11,Joaquín
1046,1047,2005-01-11,Oficina,Alquiler,Barcelona,157,949693,2005-11-27,Jesús
1047,1048,2005-01-12,Casa,Alquiler,Barcelona,279,2362572,2005-09-25,Luisa
1048,1049,2005-01-12,Oficina,Venta,Barcelona,73,672987,2005-04-21,Joaquín
1049,1050,2005-01-12,Casa,Venta,Tarragona,120,703680,2005-09-16,Carmen
1053,1054,2005-01-14,Oficina,Alquiler,Barcelona,251,2138771,2005-05-15,Carmen
1056,1057,2005-01-15,Casa,Venta,Barcelona,90,599850,2005-12-30,María
1057,1058,2005-01-15,Parking,Venta,Barcelona,221,1919827,2006-01-06,Joaquín
1059,1060,2005-01-17,Piso,Venta,Barcelona,80,500560,2005-12-11,Jesús
1060,1061,2005-01-17,Industrial,Venta,Barcelona,45,259515,2005-12-17,Joaquín
1061,1062,2005-01-18,Parking,Venta,Tarragona,68,652052,2005-09-20,Joaquín
1062,1063,2005-01-19,Oficina,Venta,Barcelona,213,1886541,2005-09-05,Jesús
1067,1068,2005-01-21,Parking,Venta,Barcelona,221,1471197,2005-10-17,Joaquín
1068,1069,2005-01-21,Local,Venta,Tarragona,108,1065744,2005-05-03,Pedro
1072,1073,2005-01-22,Oficina,Alquiler,Tarragona,246,2083866,2005-07-25,Luisa
1074,1075,2005-01-23,Parking,Alquiler,Barcelona,290,2275050,2005-09-20,Jesús
1076,1077,2005-01-23,Local,Alquiler,Barcelona,212,1911604,2006-01-14,María
1077,1078,2005-01-24,Oficina,Alquiler,Barcelona,254,1850644,2005-11-28,Carmen
1080,1081,2005-01-24,Piso,Alquiler,Barcelona,180,1128420,2005-10-13,Carmen
1081,1082,2005-01-25,Oficina,Venta,Tarragona,173,1615128,2005-05-06,Carmen
1082,1083,2005-01-25,Oficina,Alquiler,Tarragona,210,1332030,2006-01-02,Carmen
1084,1085,2005-01-25,Industrial,Venta,Barcelona,47,424175,2005-06-19,Joaquín
1086,1087,2005-01-26,Parking,Alquiler,Tarragona,197,1199730,2006-01-13,Luisa
1087,1088,2005-01-26,Industrial,Alquiler,Tarragona,144,760176,2005-10-20,Pedro
1088,1089,2005-01-27,Industrial,Venta,Barcelona,168,1081248,2005-06-01,Carmen
1089,1090,2005-01-28,Local,Alquiler,Barcelona,253,1816793,2005-10-22,Pedro
1090,1091,2005-01-28,Oficina,Venta,Tarragona,110,943800,2006-01-26,Jesús
1091,1092,2005-01-29,Piso,Alquiler,Tarragona,299,2130375,2005-10-28,Carmen
1093,1094,2005-02-01,Piso,Venta,Barcelona,139,1187477,2005-05-31,Carmen
1094,1095,2005-02-01,Local,Venta,Barcelona,300,1772700,2006-01-03,María
1096,1097,2005-02-01,Oficina,Venta,Tarragona,156,771108,2005-07-25,Luisa
1097,1098,2005-02-01,Suelo,Venta,Barcelona,262,1960808,2005-09-11,Pedro
1099,1100,2005-02-02,Piso,Alquiler,Tarragona,243,1814238,2006-01-29,Jesús
1101,1102,2005-02-02,Casa,Venta,Tarragona,268,1950772,2005-06-02,Joaquín
1104,1105,2005-02-03,Parking,Alquiler,Tarragona,97,541648,2005-06-11,Carmen
1106,1107,2005-02-05,Suelo,Alquiler,Tarragona,105,650580,2005-05-26,Carmen
1108,1109,2005-02-05,Parking,Alquiler,Tarragona,286,2064634,2005-05-26,Carmen
1110,1111,2005-02-06,Parking,Alquiler,Barcelona,87,372447,2005-07-17,Jesús
1111,1112,2005-02-06,Industrial,Alquiler,Barcelona,210,1602300,2005-06-26,Pedro
1112,1113,2005-02-06,Parking,Venta,Tarragona,157,1323353,2005-07-25,Luisa
1118,1119,2005-02-10,Local,Alquiler,Barcelona,286,1912482,2005-11-26,Pedro
1124,1125,2005-02-13,Casa,Alquiler,Tarragona,245,2287075,2006-01-31,Luisa
1125,1126,2005-02-13,Piso,Venta,Tarragona,111,462315,2006-01-13,Luisa
1126,1127,2005-02-14,Piso,Alquiler,Tarragona,75,359775,2005-05-29,María
1127,1128,2005-02-14,Parking,Venta,Barcelona,229,1859480,2006-01-06,Joaquín
1129,1130,2005-02-15,Casa,Alquiler,Barcelona,58,444338,2005-06-04,Carmen
1130,1131,2005-02-15,Parking,Venta,Barcelona,156,795912,2006-01-06,Carmen
1131,1132,2005-02-15,Piso,Alquiler,Barcelona,92,900956,2005-06-14,Pedro
1133,1134,2005-02-15,Local,Venta,Barcelona,122,879254,2005-06-25,Luisa
1134,1135,2005-02-16,Casa,Alquiler,Tarragona,58,349102,2005-10-22,Carmen
1137,1138,2005-02-16,Casa,Venta,Barcelona,257,1066550,2005-09-23,Carmen
1139,1140,2005-02-16,Suelo,Venta,Tarragona,140,1318660,2005-10-16,Pedro
1141,1142,2005-02-16,Casa,Venta,Tarragona,230,1033850,2005-10-30,María
1142,1143,2005-02-17,Suelo,Alquiler,Barcelona,254,1394206,2005-05-28,Carmen
1143,1144,2005-02-17,Suelo,Alquiler,Barcelona,256,2176768,2006-02-13,Carmen
1144,1145,2005-02-17,Piso,Alquiler,Tarragona,106,850226,2005-09-02,Joaquín
1145,1146,2005-02-17,Oficina,Venta,Barcelona,198,1090782,2006-02-01,Joaquín
1147,1148,2005-02-18,Oficina,Alquiler,Barcelona,233,984192,2006-01-28,Jesús
1150,1151,2005-02-18,Local,Venta,Barcelona,158,1308398,2006-02-05,Carmen
1153,1154,2005-02-20,Piso,Alquiler,Barcelona,292,2865688,2005-08-21,Carmen
1154,1155,2005-02-20,Suelo,Venta,Tarragona,94,857374,2005-12-11,Carmen
1155,1156,2005-02-20,Industrial,Venta,Tarragona,251,1305200,2005-12-18,Luisa
1157,1158,2005-02-20,Oficina,Venta,Barcelona,298,2436448,2005-08-13,Carmen
1158,1159,2005-02-20,Industrial,Venta,Tarragona,214,1823708,2005-09-16,Joaquín
1159,1160,2005-02-21,Industrial,Venta,Barcelona,276,2148384,2005-10-12,Jesús
1161,1162,2005-02-22,Local,Venta,Tarragona,111,698301,2005-10-23,Joaquín
1162,1163,2005-02-22,Industrial,Alquiler,Tarragona,81,523989,2005-10-13,Joaquín
1168,1169,2005-02-24,Casa,Alquiler,Tarragona,150,1051500,2006-02-17,Joaquín
1169,1170,2005-02-24,Local,Alquiler,Tarragona,165,744480,2005-08-06,Jesús
1170,1171,2005-02-24,Oficina,Venta,Tarragona,120,647280,2005-09-02,Jesús
1175,1176,2005-02-26,Casa,Venta,Barcelona,133,1305129,2005-12-22,Joaquín
1177,1178,2005-02-27,Parking,Venta,Tarragona,219,1468614,2005-10-10,Pedro
1178,1179,2005-02-27,Casa,Venta,Barcelona,91,780598,2005-11-07,Jesús
1179,1180,2005-02-28,Oficina,Alquiler,Barcelona,70,354270,2005-11-18,Jesús
1180,1181,2005-02-28,Casa,Alquiler,Barcelona,45,425790,2006-01-16,María
1184,1185,2005-03-02,Piso,Venta,Barcelona,236,1388388,2006-02-04,Joaquín
1188,1189,2005-03-03,Piso,Alquiler,Barcelona,255,1471605,2005-10-11,Carmen
1190,1191,2005-03-03,Industrial,Venta,Barcelona,142,1256274,2005-07-21,Pedro
1192,1193,2005-03-04,Casa,Alquiler,Barcelona,239,1320236,2005-08-03,Carmen
1193,1194,2005-03-04,Casa,Alquiler,Tarragona,191,969707,2005-12-05,Pedro
1196,1197,2005-03-06,Suelo,Venta,Tarragona,57,233358,2005-12-18,Luisa
1197,1198,2005-03-06,Piso,Venta,Barcelona,98,917378,2005-12-06,Pedro
1198,1199,2005-03-06,Oficina,Alquiler,Barcelona,42,235746,2005-07-25,Joaquín
1199,1200,2005-03-06,Local,Venta,Barcelona,60,474600,2005-10-01,Luisa
1200,1201,2005-03-07,Suelo,Venta,Tarragona,54,298350,2005-06-14,Carmen
1201,1202,2005-03-07,Suelo,Alquiler,Tarragona,139,1100046,2005-08-28,María
1203,1204,2005-03-07,Oficina,Venta,Barcelona,255,2151435,2005-08-26,Pedro
1204,1205,2005-03-07,Local,Venta,Barcelona,213,2105079,2005-07-25,Joaquín
1205,1206,2005-03-07,Suelo,Venta,Barcelona,117,953316,2005-12-27,María
1206,1207,2005-03-07,Oficina,Venta,Tarragona,250,1531000,2006-02-09,Joaquín
1211,1212,2005-03-10,Casa,Venta,Barcelona,143,1246960,2005-09-28,Carmen
1212,1213,2005-03-10,Casa,Venta,Tarragona,154,1238006,2005-09-04,María
1216,1217,2005-03-11,Casa,Venta,Barcelona,184,1830800,2006-01-25,Pedro
1218,1219,2005-03-11,Suelo,Venta,Barcelona,251,2234653,2005-08-01,Luisa
1219,1220,2005-03-12,Parking,Venta,Tarragona,90,438480,2005-10-23,Joaquín
1220,1221,2005-03-12,Local,Alquiler,Barcelona,269,2032295,2005-11-27,Joaquín
1221,1222,2005-03-12,Piso,Alquiler,Tarragona,245,1377880,2005-07-10,Joaquín
1223,1224,2005-03-13,Parking,Venta,Tarragona,124,1070740,2005-12-22,Carmen
1227,1228,2005-03-14,Piso,Alquiler,Tarragona,188,996588,2005-06-20,Carmen
1228,1229,2005-03-14,Suelo,Alquiler,Tarragona,79,451643,2006-01-15,María
1230,1231,2005-03-16,Suelo,Venta,Barcelona,130,1292980,2005-11-11,Luisa
1231,1232,2005-03-16,Local,Alquiler,Barcelona,138,949578,2006-02-17,María
1235,1236,2005-03-18,Oficina,Venta,Barcelona,116,841232,2006-01-18,María
1240,1241,2005-03-19,Local,Alquiler,Tarragona,88,630608,2005-12-17,Joaquín
1243,1244,2005-03-20,Oficina,Alquiler,Barcelona,274,1152718,2005-07-31,Pedro
1245,1246,2005-03-21,Parking,Venta,Barcelona,68,367132,2005-08-31,Joaquín
1246,1247,2005-03-22,Industrial,Venta,Barcelona,268,1557884,2005-12-09,Luisa
1247,1248,2005-03-22,Piso,Alquiler,Tarragona,182,851032,2006-01-02,Carmen
1248,1249,2005-03-22,Parking,Alquiler,Barcelona,99,500148,2005-08-09,Joaquín
1250,1251,2005-03-23,Local,Alquiler,Barcelona,150,730350,2005-06-28,Carmen
