,Tipo,Operación,Provincia
845,Suelo,Alquiler,Tarragona
846,Piso,Alquiler,Girona
847,Oficina,Alquiler,Tarragona
848,Casa,Venta,Tarragona
849,Piso,Alquiler,Girona
850,Casa,Alquiler,Girona
851,Casa,Alquiler,Girona
852,Piso,Venta,Tarragona
853,Piso,Alquiler,Lleida
854,Suelo,Venta,Girona
855,Industrial,Venta,Barcelona
856,Industrial,Venta,Girona
857,Oficina,Alquiler,Lleida
858,Suelo,Venta,Barcelona
859,Piso,Venta,Lleida
860,Piso,Alquiler,Girona
861,Local,Alquiler,Barcelona
862,Oficina,Alquiler,Barcelona
863,Industrial,Venta,Girona
864,Parking,Alquiler,Girona
865,Parking,Venta,Girona
866,Suelo,Venta,Tarragona
867,Suelo,Venta,Tarragona
868,Parking,Alquiler,Lleida
869,Industrial,Venta,Tarragona
870,Casa,Alquiler,Tarragona
871,Piso,Alquiler,Girona
872,Industrial,Alquiler,Lleida
873,Piso,Venta,Tarragona
874,Oficina,Alquiler,Girona
875,Industrial,Venta,Tarragona
876,Oficina,Alquiler,Lleida
877,Industrial,Alquiler,Barcelona
878,Oficina,Venta,Lleida
879,Parking,Alquiler,Lleida
880,Casa,Alquiler,Lleida
881,Local,Venta,Tarragona
882,Piso,Venta,Girona
883,Piso,Venta,Girona
884,Casa,Alquiler,Lleida
885,Piso,Venta,Girona
886,Suelo,Alquiler,Barcelona
887,Oficina,Alquiler,Lleida
888,Oficina,Alquiler,Lleida
889,Oficina,Venta,Tarragona
890,Casa,Venta,Girona
891,Casa,Alquiler,Tarragona
892,Casa,Venta,Tarragona
893,Parking,Alquiler,Lleida
894,Industrial,Alquiler,Barcelona
895,Piso,Alquiler,Tarragona
896,Suelo,Alquiler,Lleida
897,Casa,Venta,Barcelona
898,Local,Venta,Barcelona
899,Casa,Alquiler,Barcelona
900,Parking,Alquiler,Girona
901,Oficina,Alquiler,Barcelona
902,Suelo,Alquiler,Tarragona
903,Piso,Venta,Barcelona
904,Local,Alquiler,Girona
905,Industrial,Alquiler,Tarragona
906,Oficina,Alquiler,Barcelona
907,Parking,Venta,Girona
908,Industrial,Venta,Tarragona
909,Piso,Alquiler,Tarragona
910,Local,Alquiler,Barcelona
911,Suelo,Alquiler,Lleida
912,Suelo,Alquiler,Lleida
913,Piso,Venta,Girona
914,Oficina,Venta,Girona
915,Piso,Alquiler,Lleida
916,Parking,Venta,Tarragona
917,Industrial,Alquiler,Lleida
918,Casa,Alquiler,Lleida
919,Industrial,Venta,Barcelona
920,Suelo,Venta,Tarragona
921,Oficina,Venta,Lleida
922,Suelo,Venta,Tarragona
923,Parking,Alquiler,Girona
924,Parking,Alquiler,Lleida
925,Suelo,Alquiler,Barcelona
926,Suelo,Alquiler,Barcelona
927,Industrial,Alquiler,Barcelona
928,Local,Alquiler,Tarragona
929,Local,Venta,Tarragona
930,Suelo,Venta,Lleida
931,Parking,Venta,Lleida
932,Parking,Alquiler,Tarragona
933,Casa,Alquiler,Girona
934,Oficina,Alquiler,Lleida
935,Parking,Alquiler,Girona
936,Industrial,Alquiler,Girona
937,Local,Venta,Barcelona
938,Industrial,Alquiler,Girona
939,Industrial,Venta,Barcelona
940,Industrial,Venta,Barcelona
941,Industrial,Alquiler,Tarragona
942,Piso,Venta,Tarragona
943,Piso,Alquiler,Girona
944,Piso,Venta,Tarragona
945,Piso,Venta,Girona
946,Suelo,Venta,Lleida
947,Piso,Alquiler,Girona
948,Parking,Alquiler,Barcelona
949,Piso,Venta,Girona
950,Oficina,Venta,Barcelona
951,Industrial,Venta,Barcelona
952,Casa,Alquiler,Girona
953,Parking,Venta,Lleida
954,Suelo,Venta,Girona
955,Piso,Venta,Tarragona
956,Casa,Alquiler,Tarragona
957,Local,Alquiler,Tarragona
958,Parking,Venta,Tarragona
959,Suelo,Venta,Girona
960,Parking,Alquiler,Girona
961,Oficina,Alquiler,Barcelona
962,Local,Venta,Lleida
963,Suelo,Venta,Girona
964,Industrial,Venta,Girona
965,Piso,Alquiler,Lleida
966,Piso,Venta,Girona
967,Local,Alquiler,Lleida
968,Piso,Venta,Lleida
969,Piso,Alquiler,Girona
970,Piso,Venta,Lleida
971,Piso,Venta,Girona
972,Casa,Alquiler,Lleida
973,Parking,Alquiler,Lleida
974,Suelo,Venta,Lleida
975,Local,Alquiler,Barcelona
976,Suelo,Alquiler,Barcelona
977,Casa,Venta,Tarragona
978,Casa,Alquiler,Barcelona
979,Suelo,Venta,Barcelona
980,Local,Venta,Girona
981,Casa,Alquiler,Barcelona
982,Oficina,Alquiler,Barcelona
983,Suelo,Alquiler,Lleida
984,Piso,Alquiler,Barcelona
985,Suelo,Alquiler,Lleida
986,Industrial,Venta,Lleida
987,Casa,Alquiler,Tarragona
988,Piso,Venta,Lleida
989,Industrial,Venta,Barcelona
990,Oficina,Venta,Barcelona
991,Piso,Alquiler,Girona
992,Industrial,Venta,Tarragona
993,Local,Venta,Girona
994,Oficina,Venta,Tarragona
995,Parking,Alquiler,Girona
996,Industrial,Alquiler,Girona
997,Local,Venta,Girona
998,Industrial,Venta,Girona
999,Parking,Venta,Lleida
1000,Local,Venta,Barcelona
1001,Piso,Alquiler,Barcelona
1002,Parking,Venta,Tarragona
1003,Piso,Venta,Lleida
1004,Oficina,Alquiler,Girona
1005,Suelo,Venta,Lleida
1006,Oficina,Alquiler,Tarragona
1007,Casa,Venta,Lleida
1008,Piso,Alquiler,Tarragona
1009,Parking,Venta,Girona
1010,Piso,Alquiler,Barcelona
1011,Oficina,Venta,Tarragona
1012,Oficina,Venta,Barcelona
1013,Casa,Venta,Barcelona
1014,Local,Alquiler,Barcelona
1015,Parking,Alquiler,Barcelona
1016,Parking,Venta,Girona
1017,Local,Alquiler,Barcelona
1018,Suelo,Venta,Lleida
1019,Industrial,Alquiler,Lleida
1020,Suelo,Alquiler,Girona
1021,Piso,Alquiler,Tarragona
1022,Oficina,Venta,Girona
1023,Piso,Alquiler,Barcelona
1024,Industrial,Alquiler,Tarragona
1025,Parking,Alquiler,Barcelona
1026,Casa,Alquiler,Girona
1027,Casa,Venta,Lleida
1028,Piso,Alquiler,Lleida
1029,Piso,Alquiler,Tarragona
1030,Industrial,Alquiler,Barcelona
1031,Industrial,Alquiler,Barcelona
1032,Casa,Alquiler,Lleida
1033,Industrial,Alquiler,Girona
1034,Industrial,Venta,Barcelona
1035,Local,Venta,Lleida
1036,Industrial,Venta,Lleida
1037,Piso,Alquiler,Girona
1038,Casa,Alquiler,Lleida
1039,Local,Venta,Barcelona
1040,Local,Alquiler,Tarragona
1041,Suelo,Venta,Tarragona
1042,Suelo,Alquiler,Tarragona
1043,Piso,Alquiler,Tarragona
1044,Parking,Alquiler,Girona
1045,Suelo,Alquiler,Girona
1046,Oficina,Alquiler,Barcelona
1047,Casa,Alquiler,Barcelona
1048,Oficina,Venta,Barcelona
1049,Casa,Venta,Tarragona
1050,Parking,Venta,Lleida
1051,Casa,Venta,Girona
1052,Industrial,Venta,Girona
1053,Oficina,Alquiler,Barcelona
1054,Local,Alquiler,Lleida
1055,Suelo,Alquiler,Girona
1056,Casa,Venta,Barcelona
1057,Parking,Venta,Barcelona
1058,Oficina,Venta,Girona
1059,Piso,Venta,Barcelona
1060,Industrial,Venta,Barcelona
1061,Parking,Venta,Tarragona
1062,Oficina,Venta,Barcelona
1063,Piso,Alquiler,Girona
1064,Industrial,Alquiler,Lleida
1065,Suelo,Venta,Girona
1066,Suelo,Venta,Lleida
1067,Parking,Venta,Barcelona
1068,Local,Venta,Tarragona
1069,Parking,Venta,Lleida
1070,Parking,Venta,Girona
1071,Piso,Alquiler,Girona
1072,Oficina,Alquiler,Tarragona
1073,Industrial,Alquiler,Lleida
1074,Parking,Alquiler,Barcelona
1075,Parking,Venta,Lleida
1076,Local,Alquiler,Barcelona
1077,Oficina,Alquiler,Barcelona
1078,Oficina,Venta,Girona
1079,Local,Alquiler,Lleida
1080,Piso,Alquiler,Barcelona
1081,Oficina,Venta,Tarragona
1082,Oficina,Alquiler,Tarragona
1083,Parking,Alquiler,Girona
1084,Industrial,Venta,Barcelona
1085,Piso,Alquiler,Lleida
1086,Parking,Alquiler,Tarragona
1087,Industrial,Alquiler,Tarragona
1088,Industrial,Venta,Barcelona
1089,Local,Alquiler,Barcelona
1090,Oficina,Venta,Tarragona
1091,Piso,Alquiler,Tarragona
1092,Parking,Alquiler,Girona
1093,Piso,Venta,Barcelona
1094,Local,Venta,Barcelona
1095,Local,Venta,Girona
1096,Oficina,Venta,Tarragona
1097,Suelo,Venta,Barcelona
1098,Industrial,Alquiler,Girona
1099,Piso,Alquiler,Tarragona
1100,Suelo,Alquiler,Lleida
1101,Casa,Venta,Tarragona
1102,Local,Venta,Lleida
1103,Oficina,Venta,Lleida
1104,Parking,Alquiler,Tarragona
1105,Oficina,Venta,Girona
1106,Suelo,Alquiler,Tarragona
1107,Industrial,Alquiler,Lleida
1108,Parking,Alquiler,Tarragona
1109,Local,Venta,Lleida
1110,Parking,Alquiler,Barcelona
1111,Industrial,Alquiler,Barcelona
1112,Parking,Venta,Tarragona
1113,Industrial,Venta,Girona
1114,Piso,Alquiler,Lleida
1115,Local,Venta,Lleida
1116,Casa,Alquiler,Girona
1117,Parking,Alquiler,Lleida
1118,Local,Alquiler,Barcelona
1119,Local,Venta,Girona
1120,Piso,Venta,Lleida
1121,Piso,Venta,Girona
1122,Oficina,Venta,Girona
1123,Piso,Venta,Girona
1124,Casa,Alquiler,Tarragona
1125,Piso,Venta,Tarragona
1126,Piso,Alquiler,Tarragona
1127,Parking,Venta,Barcelona
1128,Oficina,Alquiler,Girona
1129,Casa,Alquiler,Barcelona
1130,Parking,Venta,Barcelona
1131,Piso,Alquiler,Barcelona
1132,Oficina,Venta,Lleida
1133,Local,Venta,Barcelona
1134,Casa,Alquiler,Tarragona
1135,Suelo,Venta,Lleida
1136,Piso,Venta,Lleida
1137,Casa,Venta,Barcelona
1138,Industrial,Venta,Girona
1139,Suelo,Venta,Tarragona
1140,Parking,Venta,Lleida
1141,Casa,Venta,Tarragona
1142,Suelo,Alquiler,Barcelona
1143,Suelo,Alquiler,Barcelona
1144,Piso,Alquiler,Tarragona
1145,Oficina,Venta,Barcelona
1146,Industrial,Alquiler,Lleida
1147,Oficina,Alquiler,Barcelona
1148,Oficina,Alquiler,Lleida
1149,Piso,Alquiler,Lleida
1150,Local,Venta,Barcelona
1151,Local,Venta,Girona
1152,Suelo,Venta,Lleida
1153,Piso,Alquiler,Barcelona
1154,Suelo,Venta,Tarragona
1155,Industrial,Venta,Tarragona
1156,Local,Venta,Girona
1157,Oficina,Venta,Barcelona
1158,Industrial,Venta,Tarragona
1159,Industrial,Venta,Barcelona
1160,Suelo,Venta,Lleida
1161,Local,Venta,Tarragona
1162,Industrial,Alquiler,Tarragona
1163,Parking,Venta,Lleida
1164,Suelo,Alquiler,Lleida
1165,Piso,Alquiler,Lleida
1166,Parking,Venta,Lleida
1167,Piso,Venta,Girona
1168,Casa,Alquiler,Tarragona
1169,Local,Alquiler,Tarragona
1170,Oficina,Venta,Tarragona
1171,Oficina,Venta,Girona
1172,Local,Venta,Lleida
1173,Piso,Venta,Lleida
1174,Local,Alquiler,Girona
1175,Casa,Venta,Barcelona
1176,Suelo,Alquiler,Lleida
1177,Parking,Venta,Tarragona
1178,Casa,Venta,Barcelona
1179,Oficina,Alquiler,Barcelona
1180,Casa,Alquiler,Barcelona
1181,Suelo,Venta,Girona
1182,Parking,Alquiler,Girona
1183,Oficina,Alquiler,Lleida
1184,Piso,Venta,Barcelona
1185,Casa,Alquiler,Girona
1186,Industrial,Alquiler,Girona
1187,Parking,Alquiler,Girona
1188,Piso,Alquiler,Barcelona
1189,Parking,Venta,Girona
1190,Industrial,Venta,Barcelona
1191,Casa,Alquiler,Girona
1192,Casa,Alquiler,Barcelona
1193,Casa,Alquiler,Tarragona
1194,Piso,Alquiler,Girona
1195,Suelo,Venta,Girona
1196,Suelo,Venta,Tarragona
1197,Piso,Venta,Barcelona
1198,Oficina,Alquiler,Barcelona
1199,Local,Venta,Barcelona
1200,Suelo,Venta,Tarragona
1201,Suelo,Alquiler,Tarragona
1202,Industrial,Venta,Lleida
1203,Oficina,Venta,Barcelona
1204,Local,Venta,Barcelona
1205,Suelo,Venta,Barcelona
1206,Oficina,Venta,Tarragona
1207,Suelo,Alquiler,Girona
1208,Piso,Alquiler,Girona
1209,Suelo,Alquiler,Lleida
1210,Local,Venta,Lleida
1211,Casa,Venta,Barcelona
1212,Casa,Venta,Tarragona
1213,Casa,Alquiler,Girona
1214,Piso,Alquiler,Lleida
1215,Piso,Alquiler,Lleida
1216,Casa,Venta,Barcelona
1217,Piso,Venta,Girona
1218,Suelo,Venta,Barcelona
1219,Parking,Venta,Tarragona
1220,Local,Alquiler,Barcelona
1221,Piso,Alquiler,Tarragona
1222,Parking,Venta,Girona
1223,Parking,Venta,Tarragona
1224,Parking,Venta,Girona
1225,Piso,Venta,Lleida
1226,Industrial,Alquiler,Girona
1227,Piso,Alquiler,Tarragona
1228,Suelo,Alquiler,Tarragona
1229,Suelo,Venta,Girona
1230,Suelo,Venta,Barcelona
1231,Local,Alquiler,Barcelona
1232,Parking,Venta,Lleida
1233,Local,Venta,Lleida
1234,Piso,Venta,Lleida
1235,Oficina,Venta,Barcelona
1236,Casa,Alquiler,Lleida
1237,Casa,Venta,Girona
1238,Casa,Venta,Lleida
1239,Industrial,Alquiler,Lleida
1240,Local,Alquiler,Tarragona
1241,Piso,Alquiler,Girona
1242,Industrial,Alquiler,Girona
1243,Oficina,Alquiler,Barcelona
1244,Parking,Venta,Girona
1245,Parking,Venta,Barcelona
1246,Industrial,Venta,Barcelona
1247,Piso,Alquiler,Tarragona
1248,Parking,Alquiler,Barcelona
1249,Piso,Venta,Girona
1250,Local,Alquiler,Barcelona
1251,Oficina,Venta,Barcelona
1252,Industrial,Alquiler,Barcelona
1253,Industrial,Venta,Barcelona
1254,Casa,Venta,Girona
1255,Piso,Venta,Girona
1256,Parking,Venta,Girona
1257,Casa,Alquiler,Tarragona
1258,Industrial,Venta,Tarragona
1259,Industrial,Venta,Barcelona
1260,Suelo,Alquiler,Tarragona
1261,Industrial,Alquiler,Barcelona
1262,Casa,Venta,Tarragona
1263,Oficina,Alquiler,Tarragona
1264,Suelo,Alquiler,Barcelona
1265,Oficina,Venta,Tarragona
1266,Parking,Venta,Lleida
1267,Industrial,Alquiler,Girona
1268,Piso,Venta,Barcelona
1269,Casa,Alquiler,Barcelona
1270,Parking,Venta,Tarragona
1271,Suelo,Alquiler,Girona
1272,Piso,Venta,Girona
1273,Piso,Venta,Lleida
1274,Piso,Alquiler,Tarragona
1275,Industrial,Alquiler,Lleida
1276,Industrial,Alquiler,Lleida
1277,Piso,Alquiler,Lleida
1278,Suelo,Venta,Lleida
1279,Industrial,Alquiler,Lleida
1280,Piso,Venta,Girona
1281,Casa,Venta,Tarragona
1282,Local,Alquiler,Girona
1283,Suelo,Alquiler,Tarragona
1284,Piso,Alquiler,Girona
1285,Parking,Alquiler,Girona
1286,Suelo,Venta,Barcelona
1287,Casa,Alquiler,Tarragona
1288,Casa,Alquiler,Tarragona
1289,Casa,Alquiler,Lleida
1290,Industrial,Venta,Tarragona
1291,Industrial,Alquiler,Lleida
1292,Industrial,Venta,Tarragona
1293,Local,Venta,Barcelona
1294,Oficina,Alquiler,Girona
1295,Oficina,Venta,Lleida
1296,Industrial,Venta,Girona
1297,Industrial,Venta,Barcelona
1298,Local,Venta,Girona
1299,Suelo,Venta,Barcelona
1300,Suelo,Venta,Tarragona
1301,Casa,Venta,Girona
1302,Suelo,Venta,Tarragona
1303,Industrial,Venta,Tarragona
1304,Oficina,Venta,Tarragona
1305,Casa,Venta,Barcelona
1306,Industrial,Venta,Girona
1307,Parking,Venta,Lleida
1308,Parking,Alquiler,Lleida
1309,Casa,Alquiler,Lleida
1310,Casa,Alquiler,Girona
1311,Oficina,Venta,Girona
1312,Piso,Alquiler,Lleida
1313,Local,Alquiler,Tarragona
1314,Parking,Alquiler,Lleida
1315,Piso,Alquiler,Barcelona
1316,Oficina,Venta,Tarragona
1317,Casa,Alquiler,Tarragona
1318,Casa,Alquiler,Lleida
1319,Piso,Alquiler,Girona
1320,Local,Alquiler,Girona
1321,Local,Venta,Lleida
1322,Piso,Alquiler,Lleida
1323,Oficina,Venta,Girona
1324,Piso,Alquiler,Barcelona
1325,Industrial,Alquiler,Barcelona
1326,Industrial,Venta,Barcelona
1327,Parking,Alquiler,Barcelona
1328,Oficina,Venta,Girona
1329,Casa,Alquiler,Lleida
1330,Piso,Venta,Tarragona
1331,Parking,Alquiler,Tarragona
1332,Industrial,Venta,Tarragona
1333,Suelo,Alquiler,Lleida
1334,Local,Venta,Tarragona
1335,Industrial,Alquiler,Tarragona
1336,Local,Alquiler,Girona
1337,Oficina,Venta,Girona
1338,Oficina,Alquiler,Tarragona
1339,Oficina,Venta,Tarragona
1340,Local,Venta,Girona
1341,Parking,Venta,Barcelona
1342,Suelo,Alquiler,Barcelona
1343,Parking,Venta,Tarragona
1344,Suelo,Alquiler,Lleida
1345,Local,Alquiler,Barcelona
1346,Local,Venta,Barcelona
1347,Casa,Venta,Lleida
1348,Casa,Venta,Barcelona
1349,Suelo,Alquiler,Girona
1350,Piso,Venta,Tarragona
1351,Piso,Venta,Girona
1352,Industrial,Alquiler,Barcelona
1353,Industrial,Venta,Barcelona
1354,Piso,Alquiler,Tarragona
1355,Suelo,Venta,Barcelona
1356,Local,Venta,Lleida
1357,Local,Venta,Tarragona
1358,Parking,Venta,Tarragona
1359,Parking,Venta,Tarragona
1360,Local,Venta,Tarragona
1361,Oficina,Alquiler,Tarragona
1362,Casa,Venta,Girona
1363,Industrial,Venta,Lleida
1364,Casa,Venta,Girona
1365,Suelo,Venta,Tarragona
1366,Suelo,Alquiler,Girona
1367,Oficina,Venta,Tarragona
1368,Parking,Alquiler,Lleida
1369,Oficina,Alquiler,Lleida
1370,Casa,Alquiler,Barcelona
1371,Industrial,Venta,Barcelona
1372,Suelo,Venta,Lleida
1373,Local,Venta,Barcelona
1374,Casa,Venta,Girona
1375,Casa,Venta,Lleida
1376,Industrial,Venta,Tarragona
1377,Oficina,Alquiler,Tarragona
1378,Parking,Alquiler,Barcelona
1379,Industrial,Venta,Girona
1380,Suelo,Alquiler,Lleida
1381,Parking,Venta,Tarragona
1382,Industrial,Venta,Girona
1383,Oficina,Alquiler,Lleida
1384,Parking,Venta,Barcelona
1385,Casa,Alquiler,Barcelona
1386,Oficina,Alquiler,Lleida
1387,Casa,Venta,Girona
1388,Parking,Venta,Girona
1389,Oficina,Venta,Lleida
1390,Industrial,Alquiler,Girona
1391,Suelo,Alquiler,Girona
1392,Oficina,Venta,Tarragona
1393,Casa,Venta,Barcelona
1394,Local,Venta,Girona
1395,Industrial,Alquiler,Lleida
1396,Local,Alquiler,Lleida
1397,Oficina,Alquiler,Barcelona
1398,Oficina,Venta,Girona
1399,Suelo,Venta,Lleida
1400,Casa,Venta,Barcelona
1401,Industrial,Venta,Tarragona
1402,Suelo,Alquiler,Girona
1403,Local,Venta,Barcelona
1404,Parking,Venta,Girona
1405,Parking,Venta,Barcelona
1406,Oficina,Venta,Tarragona
1407,Parking,Venta,Barcelona
1408,Industrial,Venta,Lleida
1409,Oficina,Venta,Tarragona
1410,Piso,Alquiler,Tarragona
1411,Industrial,Alquiler,Girona
1412,Oficina,Venta,Barcelona
1413,Piso,Alquiler,Tarragona
1414,Suelo,Alquiler,Barcelona
1415,Casa,Alquiler,Barcelona
1416,Piso,Venta,Tarragona
1417,Piso,Alquiler,Tarragona
1418,Industrial,Alquiler,Barcelona
1419,Oficina,Venta,Tarragona
1420,Industrial,Venta,Barcelona
1421,Parking,Alquiler,Girona
1422,Parking,Alquiler,Tarragona
1423,Local,Alquiler,Barcelona
1424,Parking,Venta,Barcelona
1425,Casa,Alquiler,Tarragona
1426,Parking,Alquiler,Girona
1427,Suelo,Alquiler,Tarragona
1428,Local,Alquiler,Lleida
1429,Industrial,Venta,Lleida
1430,Piso,Venta,Barcelona
1431,Suelo,Venta,Barcelona
1432,Industrial,Alquiler,Tarragona
1433,Parking,Venta,Tarragona
1434,Casa,Alquiler,Girona
1435,Industrial,Venta,Lleida
1436,Industrial,Venta,Barcelona
1437,Parking,Venta,Lleida
1438,Industrial,Venta,Girona
1439,Parking,Venta,Girona
1440,Industrial,Alquiler,Tarragona
1441,Industrial,Venta,Barcelona
1442,Casa,Alquiler,Tarragona
1443,Piso,Alquiler,Lleida
1444,Piso,Alquiler,Barcelona
1445,Parking,Venta,Tarragona
1446,Oficina,Alquiler,Barcelona
1447,Oficina,Alquiler,Lleida
1448,Piso,Alquiler,Girona
1449,Suelo,Alquiler,Barcelona
1450,Suelo,Venta,Barcelona
1451,Industrial,Venta,Girona
1452,Suelo,Alquiler,Lleida
1453,Piso,Alquiler,Tarragona
1454,Casa,Venta,Tarragona
1455,Oficina,Venta,Tarragona
1456,Oficina,Venta,Lleida
1457,Parking,Venta,Girona
1458,Industrial,Venta,Girona
1459,Oficina,Alquiler,Girona
1460,Local,Venta,Girona
1461,Piso,Venta,Lleida
1462,Parking,Alquiler,Tarragona
1463,Casa,Venta,Girona
1464,Piso,Alquiler,Tarragona
1465,Suelo,Venta,Barcelona
1466,Casa,Venta,Lleida
1467,Oficina,Alquiler,Tarragona
1468,Suelo,Alquiler,Lleida
1469,Industrial,Alquiler,Tarragona
1470,Casa,Alquiler,Tarragona
1471,Parking,Alquiler,Lleida
1472,Piso,Venta,Barcelona
1473,Casa,Alquiler,Tarragona
1474,Casa,Alquiler,Tarragona
1475,Parking,Alquiler,Lleida
1476,Parking,Alquiler,Girona
1477,Casa,Alquiler,Tarragona
1478,Industrial,Venta,Tarragona
1479,Oficina,Venta,Barcelona
1480,Local,Alquiler,Tarragona
1481,Suelo,Alquiler,Barcelona
1482,Oficina,Venta,Barcelona
1483,Parking,Alquiler,Barcelona
1484,Oficina,Venta,Barcelona
1485,Local,Alquiler,Girona
1486,Casa,Venta,Lleida
1487,Suelo,Alquiler,Barcelona
1488,Suelo,Venta,Lleida
1489,Parking,Venta,Barcelona
1490,Oficina,Alquiler,Girona
1491,Piso,Alquiler,Tarragona
1492,Industrial,Alquiler,Tarragona
1493,Suelo,Alquiler,Tarragona
1494,Casa,Venta,Girona
1495,Suelo,Venta,Lleida
1496,Piso,Venta,Tarragona
1497,Casa,Alquiler,Girona
1498,Industrial,Alquiler,Barcelona
1499,Industrial,Venta,Lleida
1500,Suelo,Venta,Lleida
1501,Industrial,Venta,Girona
1502,Industrial,Alquiler,Lleida
1503,Industrial,Venta,Girona
1504,Suelo,Venta,Tarragona
1505,Suelo,Alquiler,Girona
1506,Parking,Venta,Tarragona
1507,Casa,Venta,Girona
1508,Piso,Venta,Girona
1509,Parking,Venta,Tarragona
1510,Piso,Venta,Lleida
1511,Casa,Alquiler,Girona
1512,Piso,Venta,Lleida
1513,Suelo,Alquiler,Girona
1514,Piso,Alquiler,Lleida
1515,Industrial,Venta,Lleida
1516,Suelo,Alquiler,Girona
1517,Local,Alquiler,Girona
1518,Piso,Venta,Lleida
1519,Local,Venta,Lleida
1520,Casa,Alquiler,Barcelona
1521,Suelo,Venta,Barcelona
1522,Local,Venta,Lleida
1523,Piso,Alquiler,Tarragona
1524,Local,Venta,Tarragona
1525,Oficina,Venta,Girona
1526,Parking,Venta,Tarragona
1527,Oficina,Alquiler,Girona
1528,Oficina,Alquiler,Girona
1529,Piso,Alquiler,Tarragona
1530,Local,Venta,Lleida
1531,Piso,Alquiler,Girona
1532,Local,Alquiler,Girona
1533,Local,Alquiler,Barcelona
1534,Suelo,Venta,Tarragona
1535,Parking,Venta,Girona
1536,Piso,Venta,Barcelona
1537,Industrial,Alquiler,Girona
1538,Oficina,Venta,Tarragona
1539,Suelo,Alquiler,Tarragona
1540,Local,Venta,Lleida
1541,Industrial,Venta,Tarragona
1542,Oficina,Venta,Girona
1543,Parking,Venta,Lleida
1544,Oficina,Venta,Lleida
1545,Piso,Alquiler,Girona
1546,Piso,Venta,Barcelona
1547,Casa,Alquiler,Barcelona
1548,Oficina,Alquiler,Tarragona
1549,Piso,Alquiler,Barcelona
1550,Suelo,Alquiler,Girona
1551,Parking,Venta,Barcelona
1552,Piso,Alquiler,Barcelona
1553,Suelo,Venta,Barcelona
1554,Suelo,Alquiler,Barcelona
1555,Piso,Alquiler,Tarragona
1556,Local,Venta,Barcelona
1557,Suelo,Alquiler,Tarragona
1558,Piso,Alquiler,Girona
1559,Casa,Alquiler,Girona
1560,Casa,Alquiler,Barcelona
1561,Local,Venta,Girona
1562,Suelo,Venta,Girona
1563,Parking,Venta,Lleida
1564,Piso,Venta,Tarragona
1565,Piso,Alquiler,Lleida
1566,Oficina,Alquiler,Tarragona
1567,Piso,Alquiler,Lleida
1568,Oficina,Alquiler,Tarragona
1569,Parking,Alquiler,Barcelona
1570,Casa,Venta,Barcelona
1571,Local,Alquiler,Barcelona
1572,Local,Venta,Barcelona
1573,Piso,Alquiler,Barcelona
1574,Industrial,Venta,Barcelona
1575,Piso,Alquiler,Lleida
1576,Piso,Alquiler,Tarragona
1577,Local,Venta,Girona
1578,Suelo,Venta,Tarragona
1579,Piso,Venta,Tarragona
1580,Suelo,Alquiler,Tarragona
1581,Parking,Alquiler,Lleida
1582,Suelo,Alquiler,Girona
1583,Industrial,Venta,Girona
1584,Casa,Venta,Girona
1585,Industrial,Venta,Tarragona
1586,Parking,Venta,Lleida
1587,Local,Alquiler,Girona
1588,Casa,Venta,Lleida
1589,Suelo,Venta,Lleida
1590,Parking,Venta,Tarragona
1591,Parking,Venta,Barcelona
1592,Casa,Alquiler,Tarragona
1593,Local,Venta,Girona
1594,Parking,Venta,Lleida
1595,Suelo,Alquiler,Barcelona
1596,Parking,Venta,Lleida
1597,Industrial,Alquiler,Girona
1598,Suelo,Alquiler,Girona
1599,Oficina,Alquiler,Lleida
1600,Industrial,Venta,Lleida
1601,Local,Alquiler,Tarragona
1602,Piso,Alquiler,Barcelona
1603,Suelo,Venta,Tarragona
1604,Casa,Alquiler,Barcelona
1605,Piso,Alquiler,Barcelona
1606,Parking,Alquiler,Lleida
1607,Oficina,Venta,Barcelona
1608,Local,Alquiler,Lleida
1609,Piso,Venta,Lleida
1610,Suelo,Alquiler,Tarragona
1611,Oficina,Venta,Lleida
1612,Industrial,Alquiler,Girona
1613,Suelo,Alquiler,Tarragona
1614,Oficina,Venta,Girona
1615,Oficina,Alquiler,Lleida
1616,Piso,Alquiler,Lleida
1617,Local,Alquiler,Tarragona
1618,Casa,Alquiler,Girona
1619,Parking,Alquiler,Girona
1620,Casa,Venta,Girona
1621,Industrial,Venta,Tarragona
1622,Industrial,Alquiler,Barcelona
1623,Oficina,Alquiler,Tarragona
1624,Oficina,Alquiler,Lleida
1625,Local,Venta,Barcelona
1626,Parking,Venta,Barcelona
1627,Parking,Venta,Girona
1628,Parking,Alquiler,Lleida
1629,Suelo,Alquiler,Tarragona
1630,Local,Alquiler,Barcelona
1631,Oficina,Alquiler,Tarragona
1632,Suelo,Venta,Lleida
1633,Industrial,Venta,Girona
1634,Piso,Alquiler,Barcelona
1635,Suelo,Venta,Girona
1636,Parking,Venta,Barcelona
1637,Piso,Venta,Girona
1638,Parking,Venta,Lleida
1639,Parking,Alquiler,Tarragona
1640,Oficina,Alquiler,Lleida
1641,Industrial,Venta,Lleida
1642,Piso,Alquiler,Tarragona
1643,Local,Venta,Barcelona
1644,Casa,Alquiler,Girona
1645,Parking,Venta,Girona
1646,Local,Venta,Tarragona
1647,Casa,Venta,Tarragona
1648,Local,Venta,Barcelona
1649,Casa,Alquiler,Tarragona
1650,Parking,Venta,Lleida
